Edos List,,,,,,,,,,,
#,state,city,test code,test name,mrp,group,specimen type,method,temp,test schedule,tat
15,Maharashtra,Mumbai,ELISA-O-141,test_15,3700,C6,"3 ml Serum, Clinical history reqd",EIA,2 - 8 °C,1st & 3rd Thu 5 pm,5th Day 7 pm
16,Maharashtra,Mumbai,ELISA-O-140,test_16,1050,C6,3 ml Serum,Agglutination,2 - 8 °C,Daily 12 pm,Next day 8 pm
17,Maharashtra,Mumbai,MICRO082,test_17,500,C3,200 ml Water In Sterile  Container,Culture,2 - 8 °C,Daily 9 am to 6 pm,3rd Day 7 pm
18,Maharashtra,Mumbai,MOLBI157,test_18,3400,C6,2 ml CSF in Sterile Container,Real Time PCR,2 - 8 °C,Wed/ Sat 6 pm,3rd Day 8 pm
19,Maharashtra,Mumbai,ELISA-O-138,test_19,1900,C5,3 ml Serum,CLIA,2 - 8 °C,Daily 6 pm,Next Day 2 pm
20,Maharashtra,Mumbai,ELISA-O-136,test_20,1400,C5,3 ml Serum,CLIA,2 - 8 °C,Tue/ Thu/ Sat 12 pm,Next Day 8 pm
21,Maharashtra,Mumbai,ELISA-O-135,test_21,10000,C6,2 ml Citrated platelet poor Plasma,Immunoturbidimetry,2 - 8 °C,Sat 6 pm,Mon 10 pm
22,Maharashtra,Mumbai,BIOC-O-236,test_22,3800,C6,24 hrs Urine in 6N HCL as Preservative,LCMS,2 - 8 °C,Wed / Sat 5 pm,3rd Day 7 pm
23,Maharashtra,Mumbai,IMMU-O-113,test_23,3600,C6,2 ml Serum,CLIA,2 - 8 °C,Daily 12 pm,Next Day 6 pm
24,Maharashtra,Mumbai,IMMUP024,test_24,1900,C3,3 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 8 pm,Same Day
25,Maharashtra,Mumbai,IMMU092,test_25,1670,C2,2 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 8 pm,Same Day
26,Maharashtra,Mumbai,BIOC-O-235,test_26,3500,C6,"3ml EDTA whole Blood, Covered in aluminium foil",HPLC,2 - 8 °C,Fri 6 pm,Mon 9 pm
27,Maharashtra,Mumbai,IMMU-O-110,test_27,1500,C6,3 ml serum,CMIA,2 - 8 °C,Daily 6 pm,Next Day 2 pm
28,Maharashtra,Mumbai,IMMU091,test_28,1100,C2,2 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 8 pm,Same Day
29,Maharashtra,Mumbai,IMMU-O-109,test_29,3700,C6,"3ml EDTA whole Blood, Covered in aluminium foil",HPLC,2 - 8 °C,Tue/ Fri 6 pm,3rd day 7 pm
30,Maharashtra,Mumbai,SERO-O-080,test_30,8600,C5,3 ml Serum,IFA,2 - 8 °C,Mon / Wed / Thu / Sat 3 pm,Next day 7 pm
31,Maharashtra,Mumbai,SERO-O-079,test_31,8600,C5,2 ml CSF in Sterile Container,IFA,2 - 8 °C,Mon / Wed / Thu / Sat 3 pm,Next day 7 pm
32,Maharashtra,Mumbai,SERO042,test_32,260,C1,2 ml Serum,Flocculation,2 - 8 °C,Daily 9 am to 7 pm,Same Day
33,Maharashtra,Mumbai,SERO041,test_33,280,C5,2 ml CSF in Sterile Container,Flocculation,2 - 8 °C,Daily 12 pm,Next Day 6 pm
34,Maharashtra,Mumbai,BIOC-O-232,test_34,990,C5,2 ml Serum. Do not collect in SST tube,PETINIA,2 - 8 °C,Daily 3 pm,Next Day 6 pm
35,Maharashtra,Mumbai,CIPA-O-026,test_35,140,C1,10 ml Spot Urine,Biochemical,2 - 8 °C,Daily 9 am to 8 pm,Same Day
36,Maharashtra,Mumbai,CIPA020,test_36,180,C1,10 ml Spot Urine,Microscopy,2 - 8 °C,Daily 9 am to 8 pm,Same Day
37,Maharashtra,Mumbai,CYTO076,test_37,1050,C3,10 ml Spot Urine,Staining &  microscopy,2 - 8 °C,Daily 9 am to 8 pm,48 Hrs
38,Maharashtra,Mumbai,MICRO033,test_38,990,C3,5 ml Midstream Urine Sample In Sterile Container,Culture / VITEK 2,2 - 8 °C,Daily 9 am to 5 pm,"Preliminary report 48 to 72 Hrs, Final report 5th Day"
39,Maharashtra,Mumbai,BIOC007,test_39,360,C1,10 ml 24 Hrs. Urine. No Preservative,Biochemical,2 - 8 °C,Daily 9 am to 7 pm,Same Day 5 Hrs
40,Maharashtra,Mumbai,BIOC179,test_40,230,C1,2 ml Serum,Biochemical,2 - 8 °C,Daily 9 am to 7 pm,Same Day
41,Maharashtra,Mumbai,BIOC178,test_41,360,C1,10 ml 24 Hrs. Urine. No Preservative,Biochemical,2 - 8 °C,Daily 9 am to 7 pm,Same Day
42,Maharashtra,Mumbai,BIOC177,test_42,190,C1,2 ml Serum,Biochemical,2 - 8 °C,Daily 9 am to 8 pm,Same Day
43,Maharashtra,Mumbai,IMMU-O-107,test_43,1200,C6,3 ml Serum,CLIA,2 - 8 °C,Daily 5 pm,Next Day 12 pm
44,Maharashtra,Mumbai,MOLPA-O-327,test_44,6000,C5,4 ml EDTA Whole blood,"PCR, Fragment analysis",2 - 8 °C,Tue / Sat 12 pm,9th Day 7 pm
45,Maharashtra,Mumbai,ELISA040,test_45,1700,C6,3 ml Serum,Fluoroenzymeimmunoassay,2 - 8 °C,Daily 6 pm,3rd Day 8 pm
46,Maharashtra,Mumbai,POP288,test_46,2050,C4,"3 ml EDTA Whole Blood, 5 ml Serum, 10 ml Urine Sample, Blood in Bactec Aerobic Bottles",Refer Individual  Test,2 - 8 °C,Daily 5 pm,"Prelimanary Next Day, Final report 5th Day"
47,Maharashtra,Mumbai,MOLBI161,test_47,1700,C3,2 tubes of 3 ml EDTA whole blood,PCR,2 - 8 °C,Daily 6 pm,Next  day 11 pm
48,Maharashtra,Mumbai,SERO040,test_48,630,C3,2 ml Serum,Immuno Chromatography,2 - 8 °C,Daily 9 am to 7 pm,Same Day
49,Maharashtra,Mumbai,SERO039,test_49,600,C3,2 ml Serum,Immuno Chromatography,2 - 8 °C,Daily 3 pm,Next day 12 pm
50,Maharashtra,Mumbai,ELISA032,test_50,1250,C3,2 ml Serum,ELISA,2 - 8 °C,Wed/ Sat 1 pm,Same Day 7 pm
51,Maharashtra,Mumbai,ELISA-O-130,test_51,1150,C5,3 ml serum,EIA,2 - 8 °C,Wed 12 pm,Next day 7 pm
52,Maharashtra,Mumbai,IMMU-O-100,test_52,4600,C6,3 ml Serum,ECLIA,2 - 8 °C,Daily 6 pm,Next Day 12 pm
53,Maharashtra,Mumbai,ELISA-O-134,test_53,270,C5,3 Blood Spots of heel prick on DBS card,Fluoroimmunoassay,Room Temp,Mon to Fri 3 pm,3rd Day 8 pm
54,Maharashtra,Mumbai,IMMU090,test_54,380,C2,2 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 7 pm,Same Day
55,Maharashtra,Mumbai,HAEM044,test_55,1750,C3,3 ml EDTA Whole Blood,Immuno Chromatography,2 - 8 °C,Daily 9 am to 7 pm,Same Day
56,Maharashtra,Mumbai,IMMU-O-105,test_56,2550,C6,"3 ml Serum, Provide Clinical history",As per indvidual test,2 - 8 °C,Daily 6 pm,3day 5 pm
57,Maharashtra,Mumbai,BIOC174,test_57,300,C1,2 ml Serum,Biochemical,2 - 8 °C,Daily 9 am to 7 pm,Same Day
58,Maharashtra,Mumbai,BIOC173,test_58,1360,C5,2 ml Serum,Immunoturbidimetry,2 - 8 °C,Daily 6 pm,Next Day 1 pm
59,Maharashtra,Mumbai,IMMU-O-102,test_59,1300,C6,2 ml CSF in Sterile Container,CMIA,2 - 8 °C,Daily 6 pm,Next Day 1 pm
60,Maharashtra,Mumbai,IMMU089,test_60,1200,C2,2 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 7 pm,Same Day
61,Maharashtra,Mumbai,BIOC-O-227,test_61,4850,C6,3 ml EDTA whole blood or Na heparin plasma,EIA,2 - 8 °C,Tue/ Fri 6 pm,Next Day 7 pm
62,Maharashtra,Mumbai,SERO038,test_62,650,C5,2 ml Serum,Haemagglutination,2 - 8 °C,Daily 12 pm,Next Day 6 pm
63,Maharashtra,Mumbai,IMMU088,test_63,700,C2,3 ml Serum,EIA,2 - 8 °C,Tue / Thu / Sat 2 pm,Same Day 6 hrs
64,Maharashtra,Mumbai,ELISA039,test_64,1300,C2,3 ml Serum,EIA,2 - 8 °C,Tue / Thu / Sat 2 pm,Same Day 6 hrs
65,Maharashtra,Mumbai,IMMU087,test_65,700,C2,3 ml Serum,EIA,2 - 8 °C,Tue / Thu / Sat 2 pm,Same Day 6 hrs
66,Maharashtra,Mumbai,MOLBI143,test_66,3430,C7,10 ml Of Amniotic Fluid,PCR,2 - 8 °C,Daily 5 pm,8th Day 7 pm
67,Maharashtra,Mumbai,ELISA-O-132,test_67,680,C5,3 ml Serum,EIA,2 - 8 °C,Tue / Thu / Sat 12 pm,Next Day 8 pm
68,Maharashtra,Mumbai,ELISA037,test_68,3100,C5,4 ml Serum,As per indvidual test,2 - 8 °C,Tue / Thu / Sat 2 pm,Same Day 8 pm
69,Maharashtra,Mumbai,SERO036,test_69,1750,C5,4 ml Serum,As per indvidual test,2 - 8 °C,Tue / Thu / Sat 2 pm,Same Day 8 pm
70,Maharashtra,Mumbai,SERO035,test_70,1750,C5,4 ml Serum,As per indvidual test,2 - 8 °C,Tue / Thu / Sat 2 pm,Same Day 8 pm
71,Maharashtra,Mumbai,ELISA036,test_71,1600,C5,2 ml Serum,ELISA,2 - 8 °C,Tue / Thu / Sat 2 pm,Same Day 8 pm
72,Maharashtra,Mumbai,ELISA034,test_72,1600,C5,2 ml Serum,ELISA,2 - 8 °C,Tue / Thu / Sat 2 pm,Same Day 8 pm
73,Maharashtra,Mumbai,ELISA033,test_73,3300,C5,4 ml Serum,As per indvidual test,2 - 8 °C,Tue / Thu / Sat 2 pm,Same Day 8 pm
74,Maharashtra,Mumbai,HISTO216,test_74,1350,C3,Tissue in Formalin,Microscopy,Room Temp,Daily 9 am to 7 pm,5th Day 7 pm
75,Maharashtra,Mumbai,PATHO51,test_75,4300,C5,3 ml Serum,CLIA,2 - 8 °C,Sat 3 pm,Tue 7 pm
76,Maharashtra,Mumbai,IMMU-O-101,test_76,5200,C6,3 ml Serum,ECLIA,2 - 8 °C,Daily 6 pm,6th Day 9 pm
77,Maharashtra,Mumbai,IMMUP011,test_77,790,C2,2 ml Serum,Refer Individual  Test,2 - 8 °C,Daily 9 am to 7 pm,Same Day
78,Maharashtra,Mumbai,IMMUP009,test_78,590,C2,2 ml Serum,Refer Individual  Test,2 - 8 °C,Daily 9 am to 7 pm,Same Day
79,Maharashtra,Mumbai,IMMUP007,test_79,2290,C6,2 ml CSF in Sterile Container,CMIA,2 - 8 °C,Daily 6 pm,Next Day 12 pm
80,Maharashtra,Mumbai,IMMUP006,test_80,2200,C2,2 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 7 pm,Same Day 5 Hrs
81,Maharashtra,Mumbai,IMMU-O-099,test_81,1600,C6,2 ml CSF in Sterile Container,CLIA,2 - 8 °C,Daily 6 pm,Next Day 12 pm
82,Maharashtra,Mumbai,IMMU-O-098,test_82,1750,C5,3 ml Serum,CLIA,2 - 8 °C,Daily 6 pm,Next Day 12 pm
83,Maharashtra,Mumbai,POP-O-124,test_83,12700,C6,5 ml EDTA whole blood,Real Time PCR,2 - 8 °C,Tue / Thu 6 pm,11th Day 7 pm
84,Maharashtra,Mumbai,POP-O-123,test_84,17500,C6,"3 ml Serum, 2 ml Citrate Plasma, Prepare Platelet Poor Plasma Within 1 Hrs. of Collection",As per indvidual test,2 - 8 °C,Wed / Sat 6 pm,Next Day 8 pm
85,Maharashtra,Mumbai,POP-O-122,test_85,9500,C6,"3 ml Serum, 2 ml Citrate Plasma, Prepare Platelet Poor Plasma Within 1 Hrs. of Collection",As per indvidual test,Frozen,Wed / Sat 6 pm,Next Day 8 pm
86,Maharashtra,Mumbai,POP281,test_86,18500,C6,"3 ml Serum, 2 ml Citrate Plasma, Prepare Platelet Poor Plasma Within 1 Hrs. of Collection",As per indvidual test,Frozen,Wed / Sat 6 pm,Next Day 8 pm
87,Maharashtra,Mumbai,HAEM-O-041,test_87,850,C5,"2 ml Citrate Plasma, Prepare Platelet Poor Plasma Within 1 Hrs. of Collection",Photooptical Clot Detection,Frozen,Daily 3 pm,Next Day 6 pm
88,Maharashtra,Mumbai,BIOC-O-224,test_88,1070,C6,3 ml Serum,Petinia,2 - 8 °C,Daily 6 pm,Next Day 12 pm
89,Maharashtra,Mumbai,BIOC-O-223,test_89,3200,C6,20 ml Urine in Sterile Container. No Preservative,ICPMS,2 - 8 °C,Daily 6 pm,6th Day 9 pm
90,Maharashtra,Mumbai,BIOC-O-222,test_90,3200,C6,3 ml K2 EDTA Whole Blood in Metal Free Tube,ICPMS,2 - 8 °C,Daily 6 pm,6th Day 9 pm
91,Maharashtra,Mumbai,BIOC-O-221,test_91,2900,C6,3 ml Serum In Metal Free Tube (Royal Blue Top Tube),ICPMS,2 - 8 °C,Daily 6 pm,6th Day 9 pm
92,Maharashtra,Mumbai,POP345,test_92,2300,C4,"3 ml EDTA Whole Blood,   2 ml Serum",As per indvidual test,2 - 8 °C,Tue/ Thu/ Sat 10 am,Same Day 5 pm
93,Maharashtra,Mumbai,IMMU085,test_93,1300,C2,3 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 8 pm,Same Day
94,Maharashtra,Mumbai,IMMU086,test_94,730,C2,2 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 8 pm,Same Day
95,Maharashtra,Mumbai,IMMU-O-097,test_95,2490,C4,3 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 6 pm,Next day 2 pm
96,Maharashtra,Mumbai,MOLBI173,test_96,2250,C4,"Sputum, BAL, CSF, Pus, Aspirate, pleural fluid, Abscess, Tissue, Lymph Node, Urine, Other body fluid",RT PCR,Room Temp,Tue / Fri 3 pm,Next day 7 pm
97,Maharashtra,Mumbai,SERO-O-074,test_97,2900,C5,Blood in Lithium Heparin,ELISA,Room Temp,Mon / Wed / Fri 3 pm,Next Day 7 pm
98,Maharashtra,Mumbai,MYCBA001,test_98,8000,C8,3-5 ml Pure Culture of MTB Complex,Broth Micro Dilution,2 - 8 °C,Daily 5 pm,22 Days
99,Maharashtra,Mumbai,MYCBA019,test_99,9200,C3,3-5 ml Pure Culture Of Mtb Complex,MGIT,2 - 8 °C,Daily 9 am to 8 pm,21 Days
100,Maharashtra,Mumbai,MYCBA017,test_100,7800,C3,3-5 ml Pure Culture Of Mtb Complex,MGIT,2 - 8 °C,Daily 9 am to 8 pm,21 Days
101,Maharashtra,Mumbai,MYCBA015,test_101,5300,C3,3-5 ml Pure Culture Of Mtb Complex,MGIT,2 - 8 °C,Daily 9 am to 8 pm,21 Days
102,Maharashtra,Mumbai,MYCBA018,test_102,6000,C3,3-5 ml Pure Culture Of Mtb Complex,MGIT,2 - 8 °C,Daily 9 am to 8 pm,21 Days
103,Maharashtra,Mumbai,MYCBA020,test_103,6100,C3,3-5 ml Pure Culture Of Mtb Complex,MGIT,2 - 8 °C,Daily 9 am to 8 pm,21 Days
104,Maharashtra,Mumbai,MYCBA016,test_104,3400,C3,3-5 ml Pure Culture Of Mtb Complex,MGIT,2 - 8 °C,Daily 9 am to 8 pm,21 Days
105,Maharashtra,Mumbai,MYCBA022,test_105,14500,C3,3-5 ml Pure Culture Of Mtb Complex,MGIT,2 - 8 °C,Daily 9 am to 8 pm,21 Days
106,Maharashtra,Mumbai,MYCBA021,test_106,13800,C3,3-5 ml Pure Culture Of Mtb Complex,MGIT,2 - 8 °C,Daily 9 am to 8 pm,21 Days
107,Maharashtra,Mumbai,SERO-O-073,test_107,3700,C5,"3 ml EDTA Whole Blood, Ideal sample time 1 hour before next dose, provide date & time of sampling amount and time of dose",LC-MS/MS,Room Temp,Daily 3 pm,Next day 10 pm
108,Maharashtra,Mumbai,IMMU083,test_108,260,C2,2 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 8 pm,Same Day
109,Maharashtra,Mumbai,IMMU082,test_109,310,C2,2 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 8 pm,Same Day
110,Maharashtra,Mumbai,IMMU081,test_110,260,C2,2 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 8 pm,Same Day
111,Maharashtra,Mumbai,IMMU080,test_111,310,C2,2 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 8 pm,Same Day
112,Maharashtra,Mumbai,MOLPA-O-320,test_112,7000,C6,3ml EDTA whole Blood,Real Time PCR,Room Temp,Mon/ Thu 6 pm,4th Day 8 pm
113,Maharashtra,Mumbai,CIPA019,test_113,210,C1,Stool In Sterile Container,Biochemical and Microscopy,2 - 8 °C,Daily 9 am to 7 pm,Same Day
114,Maharashtra,Mumbai,CIPA-O-025,test_114,1250,C5,Stone (S) In A Clean Container,"FTIR, Digital Photography",Room Temp,Daily 12 pm,3rd Day 12 pm
115,Maharashtra,Mumbai,CIPA-O-024,test_115,1250,C5,Urinary Stone Sample In Plain Container,"FTIR, Digital Photography",Room Temp,Daily 12 pm,3rd Day 12 pm
116,Maharashtra,Mumbai,CIPA-O-023,test_116,1250,C5,Stone (S) In A Clean Container,"FTIR, Digital Photography",Room Temp,Daily 12 pm,3rd Day 12 pm
117,Maharashtra,Mumbai,POP-O-002,test_117,2300,C4,4 ml Serum,As per indvidual test,2 - 8 °C,Daily 9 am to 3 pm,Next day 7 pm
118,Maharashtra,Mumbai,ELISA031,test_118,1850,C5,3 ml Serum,EIA,2 - 8 °C,Daily 6 pm,Next day 7 pm
119,Maharashtra,Mumbai,ELISA030,test_119,1740,C5,3 ml Serum,EIA,2 - 8 °C,Daily 6 pm,Next day 7 pm
120,Maharashtra,Mumbai,ELISA-O-021,test_120,2500,C5,2 ml Serum,EIA,2 - 8 °C,Wed 12 pm,Next Day 9 pm
121,Maharashtra,Mumbai,ANDRO003,test_121,7000,C6,Full Quantity Of Semen In Sterile Container,CASA Sperm chromatin dispersion,Walk In,Daily 8 am to 2 pm,Same Day 7 pm
122,Maharashtra,Mumbai,ANDRO-O-001,test_122,1150,C5,3 ml Serum,EIA,2 - 8 °C,Tue / Fri 12 pm,Next day 7 pm
123,Maharashtra,Mumbai,CIPA022,test_123,140,C1,10 ml Spot Urine,Biochemistry,2 - 8 °C,Daily 9 am to 8 pm,Same Day
124,Maharashtra,Mumbai,IMMU-O-094,test_124,1550,C6,3 ml serum,Nephelometry,2 - 8 °C,Daily 6 pm,Next Day 12 pm
125,Maharashtra,Mumbai,BIOC002,test_125,360,C1,10 ml 24 Hrs. Urine. No Preservative,ISE,2 - 8 °C,Daily 9 am to 8 pm,Same Day 3 hr
126,Maharashtra,Mumbai,BIOC172,test_126,360,C1,10 ml Spot Urine,ISE,2 - 8 °C,Daily 9 am to 8 pm,Same Day 3 hr
127,Maharashtra,Mumbai,BIOC171,test_127,260,C1,2 ml Serum,ISE,2 - 8 °C,Daily 9 am to 8 pm,Same Day 3 hr
128,Maharashtra,Mumbai,BIOC170,test_128,1600,C4,"2 ml Flouride Plasma, 4 ml Serum",Refer Individual  Test,2 - 8 °C,Refer Individual Test,Same Day
129,Maharashtra,Mumbai,SERO-O-065,test_129,1750,C5,3 ml serum,EIA,2 - 8 °C,Mon/ Thu 12 pm,3rd day 8 pm
130,Maharashtra,Mumbai,IMMUD-O-001,test_130,2650,C6,3 ml Serum,EIA,2 - 8 °C,Tue / Fri 5 pm,3rd Day 5 pm
131,Maharashtra,Mumbai,GENP-O-111,test_131,5700,C5,3 ml EDTA Whole Blood; Ideal sampling time is 1 hour beofre next dose,LC-MS/MS,2 - 8 °C,Mon to Sat 3 pm,3rd day 7 pm
132,Maharashtra,Mumbai,BIOC-O-218,test_132,2890,C9,10 ml Spot Urine in acid washed Metal Free Container; No preservative,ICPMS,2 - 8 °C,Daily 6 pm,11th Day 8 pm
133,Maharashtra,Mumbai,HAEM043,test_133,200,C5,3 ml EDTA Whole Blood,Deoxygenation,2 - 8 °C,Daily 12 pm,Next Day 7  pm
134,Maharashtra,Mumbai,IMMU079,test_134,2700,C6,3 ml Serum; Age and Gender mandatory,CLIA,2 - 8 °C,Daily 6 pm,Next Day 2 pm
135,Maharashtra,Mumbai,BIOC167,test_135,220,C1,2 ml Serum,Biochemical,2 - 8 °C,Daily 9 am to 8 pm,Same Day 4hr
136,Maharashtra,Mumbai,BIOC164,test_136,220,C1,2 ml Serum,Biochemical,2 - 8 °C,Daily 9 am to 8 pm,Same Day 4hr
137,Maharashtra,Mumbai,BIOC-O-215,test_137,360,C5,"2 ml Serum, 2 ml Ascitic fluid",BCG,2 - 8 °C,Daily 3 pm,Next Day 6 pm
138,Maharashtra,Mumbai,ANDRO004,test_138,2100,C6,Full Quantity Of Semen In Sterile Container,CASA - Swim down,Walk In,Daily 9  am to 4 pm,Same Day
139,Maharashtra,Mumbai,ANDRO005,test_139,350,C6,Full Quantity Of Semen In Sterile Container,CASA End point test,Walk In,Daily 9  am to 3 pm,Next Day
140,Maharashtra,Mumbai,ANDRO002,test_140,950,C6,Full Quantity Of Semen In Sterile Container,CASA,Walk In,Daily 9  am to 3 pm,Same Day 6 PM
141,Maharashtra,Mumbai,ANDRO001,test_141,1550,C6,Sperm Sample In Sterile Container With 37 Deg/Cel,CASA,Walk In,Daily 9  am to 3 pm,Same Day 6 PM
142,Maharashtra,Mumbai,BIOC-O-210,test_142,2900,C6,20 ml Aliqout of 24 Hr Urine i Acid washed Metal Free Container Mention Volume. No preservative,ICPMS,2 - 8 °C,Daily 6 pm,4th Day 8 pm
143,Maharashtra,Mumbai,BIOC-O-209,test_143,3300,C6,"10 ml Spot Urine in Acid washed Metal Free Container, No preservative",ICPMS,2 - 8 °C,Daily 6 pm,4th Day 8 pm
144,Maharashtra,Mumbai,BIOC-O-208,test_144,3450,C6,4 ml Serum in Metal Free Tube,ICPMS,2 - 8 °C,Daily 6 pm,4th Day 8 pm
145,Maharashtra,Mumbai,BIOC-O-207,test_145,2900,C6,4 ml Blood In Metal Free Tube (K2 EDTA),ICPMS,2 - 8 °C,Daily 6 pm,4th Day 8 pm
146,Maharashtra,Mumbai,SERO-O-063,test_146,1190,C6,3 ml Serum,EIA,2 - 8 °C,Mon / Wed / Fri 6 pm,Next day 7 pm
147,Maharashtra,Mumbai,ELISA029,test_147,1380,C5,3 ml Serum,EIA,2 - 8 °C,Mon/ Thu 12 pm,Next day 7 pm
148,Maharashtra,Mumbai,ELISA028,test_148,700,C2,2 ml Serum,EIA,2 - 8 °C,Tue / Thu / Sat 2 pm,Same Day 6 hrs
149,Maharashtra,Mumbai,IMMU072,test_149,1300,C2,2 ml Serum,CMIA,2 - 8 °C,Tue / Thu / Sat 2 pm,Same Day 6 hrs
150,Maharashtra,Mumbai,IMMU073,test_150,700,C2,2 ml Serum,EIA,2 - 8 °C,Tue / Thu / Sat 2 pm,Same Day 6 hrs
151,Maharashtra,Mumbai,SERO-O-061,test_151,680,C5,3 ml Serum,EIA,2 - 8 °C,Tue / Thu / Sat 3 pm,Next day 7 pm
152,Maharashtra,Mumbai,ELISA-O-126,test_152,2180,C5,3 ml Serum,EIA,2 - 8 °C,Wed 6 pm,Next day 7 pm
153,Maharashtra,Mumbai,ELISA-O-125,test_153,2840,C5,3 ml Serum,EIA,2 - 8 °C,Wed 6 pm,Next day 7 pm
154,Maharashtra,Mumbai,MICRO080,test_154,480,C2,3 ml EDTA Whole Blood,Microscopy,2 - 8 °C,Daily 9 am to 7 pm,Same Day
155,Maharashtra,Mumbai,BIOC163,test_155,840,C2,2 ml Fluid In Sterile Container & EDTA,Biochemical and Microscopy,2 - 8 °C,Daily 9 am to 7 pm,Same Day
156,Maharashtra,Mumbai,BIOC162,test_156,840,C2,3 ml Fluid In Sterile Container & EDTA,Biochemical and Microscopy,2 - 8 °C,Daily 9 am to 7 pm,Same Day
157,Maharashtra,Mumbai,BIOC161,test_157,840,C2,3 ml Fluid In Sterile Container & EDTA,Biochemical and Microscopy,2 - 8 °C,Daily 9 am to 7 pm,Same Day
158,Maharashtra,Mumbai,BIOC160,test_158,840,C2,3 ml Fluid In Sterile Container & EDTA,Biochemical and Microscopy,2 - 8 °C,Daily 9 am to 7 pm,Same Day
159,Maharashtra,Mumbai,BIOC159,test_159,840,C2,2 ml Body Fluid in Sterile Container,Microscopy,2 - 8 °C,Daily 9 am to 8 pm,Same Day
160,Maharashtra,Mumbai,BIOC158,test_160,840,C2,2 ml Body Fluid in Sterile Container,Microscopy,2 - 8 °C,Daily 9 am to 8 pm,Same Day
161,Maharashtra,Mumbai,BIOC157,test_161,840,C2,"Fluid In Sterile container,",Biochemical and Microscopy,2 - 8 °C,Daily 9 am to 7 pm,Same Day
162,Maharashtra,Mumbai,SERO-O-059,test_162,1050,C5,Stool in Sterile Container,ICT,2 - 8 °C,Daily 12 pm,Next day 7 pm
163,Maharashtra,Mumbai,ELISA027,test_163,1800,C6,3 ml Serum,EIA,2 - 8 °C,Tue / Fri 6 pm,Next day 7 pm
